عربي,English
أرسل أسطولاً يحمل مرسوماً بنقل محمد علي والياً على سالونيك في مقدونيا وتسليم السلطة دون معارضة أو مقاومة إلى والي عثماني جاء مع الأسطول,He sent a fleet carrying a decree to transfer Muhammad Ali as governor of Thessaloniki in Macedonia and hand over power without opposition or resistance to an Ottoman governor who came with the fleet
"لكن القيادة الشعبية المصرية وقفت إلى جانب محمد علي، فأذعن السلطان العثماني وتخلى عن فكرة نقل محمد علي من ولاية مصر مع تعيينه لها.",", but the Egyptian popular leadership stood by Muhammad Ali, so the Ottoman Sultan yielded and abandoned the idea of transferring Muhammad Ali from the governorship of Egypt while appointing him to it"
حملة فريزر 1807م,Fraser's campaign 1807 AD
"أسبابها: استغلت بريطانيا تدهور علاقتها بالسلطان العثماني، فأرسلت حملة عسكرية في مارس 1807م لاحتلال مصر، وخلع محمد علي، وتثبيت تابعها المملوكي محمد بك الألفي.","Its reasons: Britain took advantage of the deterioration of its relationship with the Ottoman Sultan, and sent a military campaign in March 1807 AD to occupy Egypt, depose Muhammad Ali, and install its Mamluk vassal Muhammad Bey Al-Alfi."
وكان من أهم نتائجها هزيمة الحملة في رشيد وحماد,One of its most important results was the defeat of the campaign in Rashid and Hammad
إخلاء الحملة مقابل إطلاق سراح الأسرى - دخل محمد علي الإسكندرية منتصرا,Evacuation of the campaign in exchange for the release of the prisoners - Muhammad Ali entered Alexandria victorious
القيادة الشعبية,Popular leadership
"أدرك محمد علي قوة القيادة الشعبية ممثلة بالسيد عمر مكرم، ودورها في توليه السلطة، والقيود التي فرضت عليها عند قبوله الولاية.","Muhammad Ali realized the strength of the popular leadership represented by Mr. Omar Makram, its role in his assumption of power, and the restrictions imposed on it when he accepted the mandate. "
"ورأى محمد علي ضرورة أن يحكم بمفرده دون وصاية أو رقابة شعبية، فبدأ ينتظر الوقت المناسب للتخلص من السيد عمر مكرم.","Muhammad Ali saw the need for him to rule alone without popular tutelage or oversight, so he began to wait for the appropriate time to get rid of Mr. Omar Makram."
وقد ساعده في تحقيق ذلك انقسام القيادات الشعبية فيما بينها حول تقدير السيد عمر مكرم ومكانته بين الناس,He was helped in achieving this by the division of the popular leaders among themselves over the appreciation of Mr. Omar Makram and his status among the people
"حيث بدأ منافسوه يتسللون إليه مع محمد علي الذي انتهز الفرصة وعرض علي الخدمة من نقابة الأشراف، فترحيله، ونفيه إلى دمياط عام 1809م.","as his rivals began to infiltrate him with Muhammad Ali, who seized the opportunity and offered me service from the supervision union, deporting him, and exiling him to Damietta in 1809 AD."
"المماليك: عمل محمد علي على التخلص من المماليك لأنه رأى أنهم مصدر قلق وفوضى، واتبع عدة أساليب","Mamluks: Muhammad Ali worked to get rid of the Mamluks because he saw that they were a source of anxiety and chaos, and he followed several methods"
"ومنها: حرمانهم من تولي مناصب رفيعة في الدولة كمشيخة البلاد، ومطاردتهم في كل مكان، والترتيب لمذبحة القلعة الشهيرة في مارس 1811م.","including: depriving them of holding high-ranking positions in the state, such as the sheikhdom of the country, chasing them everywhere, and arranging the famous citadel massacre in March 1811 AD"
"ومع هذا. ومكنت الإجراءات محمد علي من حكم البلاد بشكل كامل، والتي أراد ببُعد نظره وطموحه أن تكون على نفس مستوى الدول الأوروبية الحديثة.","and with this. The procedures enabled Muhammad Ali to completely rule the country, which he wanted, with his farsightedness and ambition, to be on the same level as modern European countries."
بدأ إعداد الجنود بتجنيد السودانيين ثم تحول إلى تجنيد المصريين الذين أثبتوا كفاءتهم من خلال التدريب المنتظم وإطاعة الأوامر العسكرية وفي ساحات القتال الخارجية.,The preparation of soldiers began with the recruitment of Sudanese and then turned to the recruitment of Egyptians who proved their competence by regularly training and obeying military orders and on foreign battlefields.
الأسطول: اهتم محمد علي بإنشاء ترسانته في بولاق ثم في الإسكندرية لصناعة السفن وتزويدها بجميع أنواع الأسلحة. كما قام بإعداد أماكن لتدريب وتعليم البحارة والجنود.,The fleet: Muhammad Ali was interested in establishing his arsenal in Boulaq and then in Alexandria to manufacture ships and supply them with all types of weapons. He also prepared places for the training and education of sailors and soldiers.
"مصانع الأسلحة والذخائر. اهتم محمد علي بالتصنيع العسكري، فأنشأ في القلعة ترسانة لصناعة الأسلحة. وأنشأ قلاعًا للدفاع عن البلاد في الإسكندرية ورشيد ودمياط.","Weapons and ammunition factories. Muhammad Ali was interested in military manufacturing, so he established an arsenal in the castle to manufacture weapons. He established castles to defend the country in Alexandria, Rosetta, and Damietta."
خامساً: البناء السياسي للدولة الحديثة في مصر. السياسة الداخلية. عندما تولى محمد علي السلطة,Fifth: The political construction of the modern state in Egypt. Internal politics. When Muhammad Ali assumed power
"وبدأ في إعادة تنظيم الإدارة بما يضمن له السيطرة الكاملة على شؤون البلاد، وذلك وفق الإجراءات التالية: تقسيم مصر إلى سبع مديريات، وإنشاء على رأس الجهاز الإداري الحكومة المركزية في القاهرة ومنها. وتصدر كافة الأمور اللازمة للتنفيذ","he began to reorganize the administration in a way that would guarantee him complete control over the affairs of the country, in accordance with the following procedures: dividing Egypt into seven directorates and establishing at the head of the administrative system the central government in and from Cairo. All necessary matters for implementation are issued"
"أنشأ عدة مجالس ومكاتب، منها المحكمة العليا ومجلس الشورى","He established several councils and offices, including the High Court and the Consultation Council"
صدر نظام جديد عام 1837م لإعادة تنظيم الإدارة إلى سبعة مكاتب وتحديد صلاحياتها,Issuing a new regulation in 1837 AD to reorganize the administration into seven offices and define their powers
"السياسة الخارجية: سعى محمد علي إلى الانفصال عن الدولة العثمانية والاستقلال في مصر. ومرت العلاقة بينه وبين السلطان بمرحلتين، مرحلة الاتفاق ثم مرحلة الخلاف والصدام بينهما.","Foreign policy: Muhammad Ali sought separation from the Ottoman Empire and independence in Egypt. The relationship between him and the Sultan passed through two stages, the stage of agreement and then the stage of disagreement and clash between them."
حروب محمد علي: الحروب التي تمثلت في حروب بناء على طلب السلطان العثماني في شبه الجزيرة العربية واليونان,Wars of Muhammad Ali: Wars that consisted of wars at the request of the Ottoman Sultan in the Arabian Peninsula and Greece
وتمثلت مرحلة الخلاف بالحروب بناءً على رغبة محمد علي في السودان والشام,The stage of dispute was represented by wars based on the desire of Muhammad Ali in Sudan and the Levant
حروبه في الجزيرة العربية (1811-1819م): عرفت بالحروب الوهابية وكان هدفها القضاء على الدعوة الوهابية من أجل إرشادهم إلى نفوذ الدولة العثمانية في الجزيرة الوهابية وانتهت بالسيطرة على الجزيرة العربية. شبه جزيرة.,His wars in the Arabian Peninsula (1811-1819 AD): They were known as the Wahhabi Wars and aimed to eliminate the Wahhabi call in order to guide them to the influence of the Ottoman Empire in the Wahhabi Peninsula and ended with control over the Arabian Peninsula.
"ضم السودان سنة (1820 – 1822م): تم ضم السودان لأسباب سياسية واقتصادية وعسكرية. وأدى ذلك إلى امتداد النفوذ المصري إلى جنوب السودان، وإنشاء العاصمة الخرطوم، واكتشاف منابع النيل.","The annexation of Sudan in the year (1820 - 1822 AD): Sudan was annexed for political, economic, and military reasons. This resulted in the extension of Egyptian influence to southern Sudan, the establishment of the capital, Khartoum, and the discovery of the sources of the Nile."
الحروب اليونانية (1821 م – 1828 م) :,Greek Wars (1821 AD - 1828 AD) :
"وكان هدفها القضاء على ثروات اليونانيين في مروة الذين طالبوا بالاستقلال عن الدولة العثمانية، وانتهت بهزيمة الجيش وتدمير الأسطول المصري في معركة نافارين (1827م).","It aimed to eliminate the wealth of the Greeks in Marwa, who demanded independence from the Ottoman Empire, and ended with the defeat of the army and the destruction of the Egyptian fleet in the Battle of Navarine (1827 AD) "
وأدى إلى ضم جزيرة كريت إلى دولة مصر وإلى مكانة مصر الدولية نتيجة مفاوضات الدول الأوروبية مع محمد علي لإنهاء حرب 1828م.,and led to the annexation of the island of Crete to the state of Egypt and to Egypt’s international standing as a result of the European countries’ negotiations with Muhammad Ali to end The war of 1828 AD
مما ساعد على نمو فكرة الانفصال عن الدولة العثمانية وتحقيق الاستقلال المصري,which helped grow the idea of secession from the Ottoman Empire and achieving Egyptian independence
حروب الشام (1831 م – 1839 م) توترت العلاقات بين محمد علي والسلطان العثماني بسبب مفاوضات محمد علي مع القوى الأوروبية لتأمين انسحاب الجيش المصري من المورة,The Levant Wars (1831 AD - 1839 AD) Relations between Muhammad Ali and the Ottoman Sultan became tense due to Muhammad Ali’s negotiations with the European powers to secure the withdrawal of the Egyptian army from Morea
عزم محمد علي على الانفصال والاستقلال في مصر فكانت الجبهة بينه وبين الدولة العثمانية فيما عرف بحرب الشام الأولى والثانية," Muhammad Ali’s determination to secede and become independent in Egypt, so the front was between him and the Ottoman Empire in what was known as the First and Second Levant War"
"وأدى ذلك إلى وصول القوات المصرية إلى الشام وأعالي الفرات، وامتداد النفوذ المصري في الشام","This resulted in the arrival of Egyptian forces to the Levant and Upper Qarat, and the extension of Egyptian influence in the Levant"
التدخل الأوروبي: أدركت الدول الأوروبية الخطر الذي كان يمثله محمد علي على التوازن الدولي نتيجة انتصاراته,European intervention: The European countries realized the threat that Muhammad Ali represented to the international balance as a result of his victories 
"وزيادة نفوذه، فتدخلت الدول الأوروبية في المفاوضات مع السلطان لفرض ما اعتبرته شروطًا على محمد علي،","and the increase in his influence, so the European countries intervened in negotiations with the Sultan to impose what they saw as conditions on Muhammad Ali,"
"والتي انتهت بمعاهدة لندن الدولية عام 1840م والتي شملت بلاد الشام والجزيرة. العربية إلى السلطان العثماني، وتنصيب محمد علي حكماً لمصر، وإعلان الخضوع للسلطان العثماني، واضطر محمد علي لقبول شروطها.","which ended with the London International Treaty in 1840 AD, which included the Levant and the Peninsula. Arabic to the Ottoman Sultan, installing Muhammad Ali in the rule of Egypt, and declaring submission to the Ottoman Sultan, and Muhammad Ali was forced to accept its conditions."
وفي يونيو عام 1841م أصدر السلطان العثماني مرسوماً بمنح حق الميراث لمصر لابنه الأكبر. ثم أصدر السلطان العثماني مرسوماً آخر بشأن ولاية محمد علي على السودان في مصر.,"In June 1841 AD, the Ottoman Sultan issued a decree granting the right of inheritance to Egypt for his eldest son. Then the Ottoman Sultan issued another decree regarding Muhammad Ali’s guardianship of Sudan in Egypt."
فرمان: أمر يصدر من سلطان الدولة العثمانية ويجب تنفيذه,Firman: An order issued by the Sultan of the Ottoman Empire that is obligatory to implement
إبراهيم باشا 1848 م,Ibrahim Pasha 1848 AD
عباس الأول 1848 : 1854 م,Abbas I 1848: 1854 AD
سعيد باشا 1863 : 1879 م,Said Pasha 1863: 1879 AD
الخديوي إسماعيل 1854 : 1863 م,Khedive Ismail 1854: 1863 AD
الخديوي توفيق 1879 : 1892 م,Khedive Tawfiq 1879: 1892 AD
خلفاء محمد علي لم يكونوا مثله في القوة والوعي حتى يثبتوا كفاءتهم في حكم البلاد,"The successors of Muhammad Ali were not like him in terms of strength and awareness, such that they would prove their competence in ruling the country"
"لقد هاجمتهم الموجة الغربية، ولم يكن أحد منهم يمتلك الكفاءة اللازمة للمواجهة","The Western wave assailed them, and none of them possessed the necessary competence for confrontation"
"أفلتت مقاليد الأمور من أيديهم، وتأرجحوا بين إظهار مظاهر الميل نحو فرنسا وبريطانيا والدولة العثمانية، وذلك على حساب مصر واستقلالها.","The reins of affairs slipped from their hands, and they oscillated between showing manifestations of inclination towards France, Britain, and the Ottoman Empire This is at the expense of Egypt and its independence"
أولاً: عهد عباس باشا الأول (1848:1854) م,First: The reign of Abbas Pasha I (1848:1854) AD
"تولى عباس باشا الأول حكم مصر في نوفمبر عام 1848م، وفي عهده توقفت حركة النهضة التي ظهرت في عهد (محمد علي)","Abbas Pasha I took over the rule of Egypt in November 1848 AD, and during his era the Renaissance movement that appeared in the era of (Muhammad Ali) stopped"
"حيث تم إغلاق معظم المدارس ومعظم المصانع، وتم تقليص حجم الجيش، وتوقف عمل الترسانة البحرية، ومن الأعمال القليلة التي تمت في عهده كان إصلاح الطريق البري بين القاهرة والسويس.","as most schools and most factories were closed, the size of the army was reduced, and the work of the naval arsenal was suspended, and among the few works that took place during his reign was reform The land road between Cairo and Suez"
والبدء في إنشاء أول خط للسكة الحديد بين القاهرة والإسكندرية عام 1852م.,and the start In establishing the first railway line between Cairo and Alexandria in 1852 AD.
ثانياً: عهد محمد سعيد باشا (1854 : 1863) م,Second: The era of Muhammad Saeed Pasha (1854: 1863) AD
"تولى سعيد الحكم بعد وفاة عباس الأول، وشهدت البلاد في عهده تقدماً في بعض المجالات التالية:","Said assumed power after the death of Abbas I, and the country witnessed progress during his reign in some of the following areas:"
أ) الزراعة,A) Agriculture
"اهتم بإصلاح أوضاع المزارعين، حيث أصدر النظام الصعيدي في أغسطس 1858م، والذي بموجبه يحق للفلاح أن يرث الأرض الزراعية","He was interested in reforming the conditions of farmers, as he issued the Saidi Regulations in August 1858 AD, according to which the farmer had the right to inherit agricultural land"
كما اهتم بتطهير ترعة المحمودية لتلبية احتياجات الري والزراعة.,He was also concerned with clearing the Mahmoudiyah Canal to meet the needs of irrigation and agriculture.
النقل والاتصالات,Transportation and communication
"أكمل خط السكة الحديد بين القاهرة والإسكندرية، كما أنشأ خطًا من القاهرة إلى السويس، ومد خطوط التلغراف على الطريقة الحديثة بين الإسكندرية والقاهرة والسويس.","He completed the railway line between Cairo and Alexandria, and he also established a line from Cairo to Suez, and extended telegraph lines in the modern manner between Alexandria, Cairo, and Suez."
الجيش والبحرية,Army and Navy
"وجعل مدة الخدمة العسكرية سنة إجبارية على الجميع، واهتم بالترسانة البحرية وبدأ في إصلاح السفن وتجديد الأسطول، وفتح باب الترقي للضباط المصريين.","He made the period of military service one year compulsory for everyone, and he took care of the naval arsenal and began repairing ships and renewing the fleet, and opened the door to promotion for Egyptian officers."
تعليم,Education
وألغى المكتب المدرسي وفي نفس الوقت شجع البعثات الأجنبية في مصر على فتح مدارس في القاهرة والإسكندرية.,He canceled the school office and at the same time encouraged foreign missions in Egypt to open schools in Cairo And Alexandria.
"ورغم التقدم الذي تحقق في بعض القطاعات، إلا أن عهد سعيد باشا شهد بدايات التدخل الأجنبي في شؤون مصر، وذلك على النحو التالي:","Despite the progress achieved in some sectors, the era of Said Pasha witnessed the beginnings of intervention The foreigner in the affairs of Egypt, as follows"
القروض الخارجية,Foreign loans
"اعتمد سعيد باشا على رأس المال الأجنبي، وبدأت الأزمة المالية في عهده عندما اقترض من بيوت المال الأوروبية، وفي عام 1862م أبرم أول قرض مع أحد البنوك البريطانية، ثم سارع بعد ذلك إلى طلب القروض","Saeed Pasha relied on foreign capital, and the financial crisis began during his reign when he borrowed From the European financial houses, in 1862 AD he concluded the first loan with a British bank, and then he rushed to request loans"
ولجأ بعد ذلك إلى الاقتراض من المرابين مقابل السندات على حساب الخزانة المصرية.,"After that, he resorted to borrowing from moneylenders in exchange for bonds at the expense of the Egyptian treasury."
امتياز قناة السويس,Suez Canal Concession
1- في نوفمبر 1854 منح سعيد باشا فرديناند ديليسبس عقد الامتياز الأول الذي نص على منح امتياز إنشاء شركة عامة لحفر قناة السويس والاستثمار فيها لمدة 99 سنة تبدأ من تاريخ افتتاح القناة للملاحة,"1- In November 1854, Saeed Pasha granted Ferdinand de Lesseps the first concession contract, which stipulated the granting of the establishment concession A public company for digging the Suez Canal and investing in it for a period of 99 years starting on the date the channel opens for navigation"
"2- في يناير 1856، منح سعيد باشا فرديناند ديليسبس عقد الامتياز الثاني، والذي كانت شروطه مجحفة لمصر والمصريين، ومن بينها:","2- In January 1856, Said Pasha granted Ferdinand de Lesseps the second concession contract, the terms of which were unfair to Egypt and the Egyptians, including:"
"1 - منحت الحكومة المصرية الشركة امتياز إنشاء قناة السويس وحفر قناة النيل للملاحة المائية (قناة الإسماعيلية)، وإنشاء فرعين للري والشرب تستمد مياههما من قناة الإسماعيلية.","1 - The Egyptian government granted the company the concession to construct the Suez Canal and dig the Nile Navigable Water Canal (Canal).Ismailia), and the establishment of two irrigation and drinking branches that derive their water from the Ismailia Canal."
2(تنازلت الحكومة للشركة مجاناً عن جميع الأراضي التي كانت تملكها واللازمة لإنشاء قناة الملح وقناة المياه العذبة.,"2(The government ceded to the company, free of charge, all the lands it owned and required for the construction of the salt canal and the fresh water canal."
3) أربعة أخماس العمال مصريون.,3) Four-fifths of the workers are Egyptians.
4) يحق للشركة فرض ما تريد من رسوم على السفن المارة بالقناة البحرية أو قناة المياه العذبة.,4) The company has the right to impose whatever fees it wishes on ships passing through the sea canal or the freshwater canal. 
5) تحصل مصر على تعويضات عن الأراضي والامتيازات الممنوحة لشركة الشعب بهدف تحقيق تنمية اقتصادية عملاقة بمنطقة محور القناة لصالح مصر علي 15% من صافي الأرباح.,5) Egypt receives compensation for the lands and privileges granted to the company of the people with the aim of achieving giant economic development in the canal axis region for the benefit of Egypt Ali 15% of net profits.
6) يشترط لصحة الامتياز أن يصدق عليه السلطان العثماني.," 6) For the validity of the concession, it was stipulated that it be ratified by the Ottoman Sultan."
يمثل عهد إسماعيل إحدى أكثر الفترات ازدهارًا وتقدمًا وعمرانًا في تاريخ مصر الحديث.,"The reign of Ismail represents one of the most prosperous, advanced, and urban periods in Egypt’s modern history."
"كما أنه يمثل أحد أخطر العصور التي تعرضت لها البلاد للتدخلات الخارجية في الشأن المصري بسبب الأخطاء التي أدت إلى تدهور وضع مصر المالي، وما تلا ذلك من انهيار استقلالها السياسي.","It also represents one of the most dangerous eras to which the country was exposed to foreign interference in Egyptian affairs due to the mistakes that led to the deterioration of Egypt’s status Financial Egypt, and the subsequent collapse of its political independence."
مظاهر النهضة والإصلاح في عهد إسماعيل,Manifestations of renaissance and reform during the reign of Ismail
(أ) مجال الزراعة والري,(a) The field of agriculture and irrigation
"زيادة مساحة الأراضي الزراعية. وتم حفر العديد من الترع, مثل قناة الإبراهيمية, وأقيمت القناطر على نهر النيل.","Increasing the area of agricultural land. Many canals were dug, such as the Ibrahimi Canal, and barrages were constructed on the Nile."
"استعادة نشاط العديد من المصانع, والتوسع في إنشاء مصانع السكر في صعيد مصر.","Restoring the activity of many factories, and expanding the establishment of sugar factories in Upper Egypt."
ب) مجال الصناعة,b) Industry field
ج) التعليم والنهضة العلمية,C) Education and scientific renaissance
"إعادة فتح مكتب المدارس بوزارة التربية والتعليم حالياً)، والتوسع في إنشاء المدارس المختلفة.","Reopening the Office of Schools, Ministry of Education currently), and expanding the establishment of various schools."
إنشاء دار الكتب ودار الرصد بالعباسية وجهاز الإحصاء والمساحة بالإضافة إلى الجمعية الجغرافية عام 1875م,"Establishing Dar al-Kutub, the Monitoring House in Abbasiya, and the Statistics Authority the Surveying, in addition to the Geographical Society in 1875 AD"
اهتم الخديوي إسماعيل بتنظيم الجيش وتسليحه ومضاعفة قوته. كما اهتم بنهضة التعليم البحري.,"Khedive Ismail was interested in organizing the army, arming it, and doubling its strength. He was also concerned with the renaissance of maritime education."
حضري,Urban
الجيش والبحرية,Army and Navy
إنشاء دار الأوبرا وإنشاء الجسور والجسور وعدد من القصور المعروفة الآن مثل قصر عابدين,"Establishing the Opera House and constructing bridges and bridges, and a number of Now known palaces such as Abdeen Palace"
"مد خطوط التلغراف بين محافظات مصر المختلفة، وتم إنشاء خدمة بريد مصرية لها مكاتب في الإسكندرية والقاهرة والمناطق","Extending telegraph lines between the various governorates of Egypt, and an Egyptian postal service was established with offices in Alexandria, Cairo, and the regions"
إنشاء مجلس الشورى النواب,Establishment of the Shura Council of Representatives
"عرفت مصر الهيئات شبه البرلمانية، عندما تم إنشاء مجلس الشورى النواب عام 1866، والذي يعتبر بداية تاريخ المؤسسات البرلمانية في مصر الحديثة","Egypt knew quasi-parliamentary bodies, when the Shura Council of Representatives was established in 1866, which is considered the beginning of the history of parliamentary institutions in modern Egypt"
"كما عرفت نظام “الوزارة المسؤولة” عام 1878م، وتم وضع أول دستور في مصر والمعروف باسم “اللائحة الأساسية” بهدف إقامة حياة دستورية سليمة، إلا أن تدخلات الدول الأوروبية أعاقت ذلك. التطورات الدستورية","It also knew the system of the “responsible ministry” in 1878 AD, and the first constitution was drawn up in Egypt, known as the “Basic Regulations,” with the aim of establishing A sound constitutional life, but the interference of European countries hampered constitutional developments"
امتداد النفوذ المصري,The extension of Egyptian influence
وجه الخديوي إسماعيل عدة حملات عسكرية إلى المناطق الاستوائية في أفريقيا لمنع تجارة الرقيق والتوسع في الجنوب والسيطرة على مياه النيل. ووصل النفوذ المصري إلى ساحل البحر الأحمر بأكمله عام 1875م,"Khedive Ismail directed several military campaigns to the tropical regions of Africa to prevent the slave trade, expand in the south, and control the waters of the Nile. Egyptian influence reached the entire Red Sea coast in 1875 AD"
الأزمة المالية وزيادة التدخل الأجنبي في مصر الخديوي إسماعيل (1863 – 1879 م) ورث دولة كانت سيادتها مقتصرة على الدولة العثمانية,The financial crisis and the increase in foreign intervention in Egypt Khedive Ismail (1863 - 1879 AD) inherited a state whose sovereignty was restricted to the Ottoman Empire
"وأدت سياسته إلى حدوث أزمة مالية في مصر، ومن أهم عواملها ما يلي","and his policy led to A financial crisis occurred in Egypt, and among its most important factors were the following"
عوامل الأزمة المالية,Factors of the financial crisis
سياسة الاقتراض,Borrowing policy
اتبع الخديوي إسماعيل سياسة الاقتراض للوفاء بالتزاماته ومشاريعه,Khedive Ismail followed a policy of borrowing to fulfill his obligations and projects
افتتاح قناة السويس,The opening of the Suez Canal
"وأقام الخديوي إسماعيل العديد من الحفلات لافتتاح القناة في 17 نوفمبر 1869. ودعا إليها ملوك أوروبا وأنفق ببذخ على هذه الاحتفالات، مما أدى إلى زيادة حدة الأزمة المالية.","Khedive Ismail held many parties to open the canal on November 17, 1869. He invited European kings to them and spent lavishly on these celebrations, which led to an increase in the severity of the financial crisis."
"علاقة الخديوي إسماعيل بالدولة العثمانية اعتمد الخديوي إسماعيل في علاقته بالسلطان العثماني، على تقديم الأموال والهدايا للحصول على مراسيم يوسع بها نطاق حكمه، وجعل يرث العرش لابنه الأكبر، وزاد عدد الجيش المصري وأشياء أخرى من المراسيم","Khedive Ismail’s relationship with the Ottoman Empire In his relationship with the Ottoman Sultan, Khedive Ismail relied on offering money and gifts to obtain decrees by which he expanded the scope of his rule, made the inheritance of the throne to his eldest son, increased the number of the Egyptian army and other things from decrees"
التنازلات الأجنبية,Foreign concessions
"منحت الدولة العثمانية مواطني بعض الدول الأوروبية العديد من الامتيازات الأجنبية لتشجيعهم على الإقامة والتجارة، حيث تعهدت الدولة العثمانية بالحفاظ على أموالهم وأرواحهم، ومنحتهم حق الرجوع إلى قناصلهم في شؤونهم التجارية والشخصية.","The Ottoman Empire granted the citizens of some European countries many foreign privileges to encourage them to reside and trade, with the Ottoman Empire pledging to preserve their money and lives, and giving them the right to refer to their consuls in their commercial and personal affairs."
مظاهر تزايد التدخل الأجنبي,Manifestations of increasing foreign intervention
"أدت سياسة الخديوي إسماعيل إلى زيادة التدخل الأجنبي في شئون مصر المالية، والذي يتمثل في:","Khedive Ismail's policy led to an increase in foreign interference in Egypt's financial affairs, which is represented in:"
المحاكم القنصلية,Consular courts
"ومع مرور الوقت، اشتدت قبضة القناصل الأجانب، وبدأت المحاكم القنصلية تنظر في الجرائم التي يرتكبها مواطنون أجانب ضد المصريين وضد الحكومة المصرية نفسها، ولم تكن الأحكام تُستأنف إلا في الخارج، وهو ما كان يدفع المصريين للتنازل عن حقوقهم.","Over time, the grip of foreign consuls increased, and consular courts began to look into crimes committed by foreign nationals against Egyptians and the Egyptian government itself, and judgments were not appealed except abroad, which He was pushing Egyptians to give up their rights."
المحاكم المختلطة 1875م,Mixed Courts 1875 AD
"حاول الخديوي إسماعيل اتخاذ إجراءات للحد من عيوب المحاكم القنصلية. وأنشأ محاكم مختلطة للفصل في القضايا المدنية والمنازعات العقارية بين المصريين والأجانب، والمنازعات التي تنشأ بين الأجانب والحكومة المصرية نفسها.","Khedive Ismail tried to take measures to limit the disadvantages of consular courts. He established mixed courts to adjudicate civil cases and real estate disputes between Egyptians and foreigners, and disputes that arose between foreigners and the Egyptian government itself."
"قضاتها أجانب ومصريون، لكن رئاسة الأجانب لها أدت إلى تدخلهم في سلطة القضاء والتشريعات وانحيازهم للأجانب","Its judges were foreigners and Egyptians, but the foreigners’ presidency of it led to their interference in the judiciary’s authority Legislation and their bias toward foreigners"
بعثة كييف (الكهف) (ديسمبر 1875),Kiev Mission (CAVE) (December 1875)
"عرض الخديوي إسماعيل على بريطانيا إرسال موظف مختص لدراسة أسباب الأوضاع المالية السيئة في مصر، وتقديم مقترحات لعلاج الأزمة المالية، فأرسلت الحكومة البريطانية بعثة برئاسة السيد كييف واقترحت البعثة إنشاء رقابة مالية. قسم يرأسه موظف إنجليزي وأنه لا يجوز للخديوي أن يعقد قرضاً إلا بعد موافقة دائرة الرقابة المالية","Khedive Ismail offered Britain to send a competent employee to study the causes of the bad financial conditions in Egypt, and to present proposals to remedy the financial crisis So The British government sent a mission headed by Mr Kiev and themission proposed the establishment of a financial control department headed by an English employee and that the Khedive should not contract a loan unless it was approved by the control department Finance"
- صندوق الدين (مايو 1876م),Debt Fund (May 1876 AD)
"أصدر الخديوي إسماعيل قرارًا بإنشاء صندوق الديون، وهو خزانة فرعية للخزانة المصرية تتولى تسليم المبالغ المخصصة للديون من الإدارات المختلفة، والإشراف على سداد الديون لأصحابها، ويديره مندوبون أجانب يعينونهم من قبل الدول الدائنة","Khedive Ismail issued a decree establishing the Debt Fund, which is a sub-treasury of the Egyptian treasury that is responsible for handing over the amounts allocated for debts from various departments, and supervising the payment of debts to their owners It is managed by foreign delegates appointed by the creditor countries"
المراقبة الثنائية (نوفمبر 1876م),Bilateral Monitoring (November 1876 AD)
"اقترحت الدول الأوروبية فرض سيطرة أوروبية على المالية المصرية، فاضطر الخديوي إسماعيل إلى إصدار مرسوم في نوفمبر 1876م بتعيين مراقبين أجنبيين على المالية المصرية، أحدهما بريطاني للإيرادات والآخر فرنسي للمصروفات، وعرف هذا النظام بالرقابة الثنائية.","European countries proposed imposing European control over Egyptian finances, so Khedive Ismail was forced to issue a decree in November 1876 AD appointing two foreign observers over Egyptian finances, one British for revenues and the other French for expenses This system was known as bilateral control."
لجنة التحقيق الأوروبية العليا (يناير 1878),European Supreme Commission of Inquiry (January 1878)
"وأصبحت الأمور المالية في مصر أسوأ وأكثر إرباكا، مما دفع الرقيبين إلى المطالبة بتشكيل لجنة دولية للتحقيق في كافة الشؤون المالية والإدارية. واستجاب إسماعيل وأصدر قراراً بتشكيل هذه اللجنة والموافقة على مطالبها","Financial matters in Egypt became worse and more confusing, which led to the two censors demanding the establishment of an international committee to investigate all financial and administrative affairs. Ismail responded and issued a decree to form this committee and agree to its demands"
"وأهمها تسليم الخديوي سلطته المطلقة لوزارة مسؤولة عن حكم البلاد، والتنازل عن ممتلكاته وممتلكات أسرته، ووضعها تحت الإشراف الدولي مقابل دفع مخصصات مالية لهم.","The most important of which is the Khedive’s surrender of his absolute authority to a ministry responsible for governing the country, giving up his possessions and those of his family, and placing them under international supervision in exchange for financial allocations paid to them"
"الوزارة المشتركة أغسطس 1878م أصدر الخديوي إسماعيل، بناءً على اتفاق الحكومتين البريطانية والفرنسية، قرارًا بإنشاء وزارة مسئولة برئاسة نوبار باشا، ووزيرين للخارجية، أحدهما بريطاني للمالية والآخر فرنسي للأشغال.","The Mixed Ministry, August 1878 AD Khedive Ismail, based on the agreement of the British and French governments, issued a decree establishing a responsible ministry headed by Nubar Pasha, with two foreign ministers, one British for Finance and the other French for Works"
القائمة الوطنية وإقالة الخديوي إسماعيل,The National List and the dismissal of Khedive Ismail
